n,greedy_sec,lp_sec,pd_sec
10,0.000006666,0.000009005,0.000014149
20,0.000006338,0.000006218,0.000020284
30,0.000004020,0.000005132,0.000022429
50,0.000007041,0.000004711,0.000029171
70,0.000008944,0.000006915,0.000040680
100,0.000006163,0.000007877,0.000053148
150,0.000007291,0.000008301,0.000066572
200,0.000010810,0.000010459,0.000073465
300,0.000014221,0.000014361,0.000159332
500,0.000023502,0.000021069,0.000187108
800,0.000037488,0.000035383,0.000311664
1000,0.000048207,0.000045243,0.000364627
